interval	50X.sort.bam_bases	50X.sort.bam_mean	50X.sort.bam_min	50X.sort.bam_max	50X.sort.bam_length
Contig59	78952	31.42993630573248	0	90	2512
Contig33	241024	29.52639960798726	0	180	8163
Contig71	8838546	46.91472218093802	0	182	188396
Contig10	263584	19.8362432269717	0	52	13288
Contig54	4641	1.290241868223519	0	17	3597
Contig01	305104	17.65648148148148	0	102	17280
Contig03	3015	0.2125634517766498	0	15	14184
Contig16	434127	36.6012140628952	0	67	11861
Contig41	131387	20.24764986900909	0	198	6489
Contig56	48647	15.79448051948052	0	72	3080
Contig78	8055421	63.65103985587408	0	168	126556
Contig44	333478	56.19784293899562	0	151	5934
Contig24	1006399	102.3491304789993	0	424	9833
Chr09	13069440024	46.94313947301579	0	26897	278410012
Chr02	8368675013	47.19553384555645	0	22439	177319215
Contig62	4352620	2443.919146546884	0	9655	1781
Chr05	12550227277	49.24088053827853	0	39372	254874144
Contig22	2014153	191.9886569440473	0	271	10491
Contig69	4700570	94.01139999999999	0	152	50000
Contig14	21191952	1765.407530823059	0	14684	12004
Contig42	5837090	959.4165023011177	0	13849	6084
Contig20	300805	28.16262522235746	0	90	10681
Contig61	108606	53.63259259259259	0	87	2025
Contig68	592	0.6324786324786325	0	2	936
Contig05	103514	7.428345891639756	0	58	13935
Contig31	14739735	1706.185322375275	0	11224	8639
Contig36	70380	9.328031809145129	0	81	7545
Contig06	639780	45.93810583758167	0	123	13927
Contig76	77992086	623.936688	0	17979	125000
Contig09	122209	9.086171003717473	0	68	13450
Contig35	383653	47.76556274900398	0	77	8032
Contig57	756	0.2631395753567699	0	5	2873
Contig43	12437	2.074908241574908	0	47	5994
Contig04	672423	47.57148921117793	0	142	14135
Contig29	178129	19.6914658412558	0	87	9046
Contig72	13891988	59.40351837439814	0	620	233858
Contig70	3844425	105.5001372118551	0	2605	36440
Contig66	109	0.08522283033620015	0	1	1279
Contig67	0	0.0	0	0	1221
Contig52	7146	1.830899308224443	0	43	3903
Contig07	26743012	1947.353964902061	0	8776	13733
Contig64	290	0.1783517835178352	0	2	1626
Contig45	96296	16.26072272880783	0	68	5922
Contig73	19366771	73.89246224636962	0	455	262094
Contig37	0	0.0	0	0	7491
Chr11	13149819316	47.78532095442733	0	28174	275185330
Chr03	14144870338	48.81063031357927	0	22490	289790774
Contig02	599377	42.08812583385998	0	69	14241
Contig53	952	0.2449189606380242	0	4	3887
Contig74	5392728	96.53142396849547	0	557	55865
Contig50	76176	16.81960697725767	0	105	4529
Chr01	16946904295	50.95045379366483	0	27556	332615375
Contig32	20005709	2445.685696821516	0	15955	8180
Chr04	11741935164	47.16915047573556	0	17457	248932513
Contig47	48645	9.604146100691016	0	103	5065
Contig65	340	0.2154626108998733	0	2	1578
Contig27	719550	79.02800658978583	0	129	9105
Contig13	18463	1.435803717240843	0	26	12859
Contig63	192571	112.8125366139426	0	180	1707
Contig46	169	0.03030846484935438	0	2	5576
Contig18	364808	31.11634254520641	0	134	11724
Contig49	238942	50.00879028882377	0	151	4778
Chr08	8437935038	48.40305953287728	0	19560	174326481
Contig79	21899490	49.25417545690497	0	339	444622
Chr06	11856540551	46.82057496148624	0	20891	253233553
Contig40	0	0.0	0	0	6978
Contig34	34271	4.226291774571464	0	72	8109
Contig11	717526	54.4157439708782	0	314	13186
Contig23	983790	98.28071928071928	0	139	10010
Contig38	159322	21.84587961058549	0	66	7293
Chr12	12456321326	47.95755437027255	0	20538	259736375
Contig28	241288	26.66755083996463	0	71	9048
Contig48	359556	72.60823909531503	0	124	4952
Contig17	880828	74.65909476182404	0	222	11798
Contig60	7693	3.136159804321239	0	27	2453
Contig15	71843	6.032664371483752	0	140	11909
Contig39	15349098	2138.353023126219	0	25289	7178
Contig55	453	0.1314186248912098	0	3	3447
Contig26	74855	8.061927840603124	0	56	9285
Contig21	11896	1.133816240945482	0	46	10492
Contig30	16457247	1824.730790553276	0	17841	9019
Chr07	12874607852	48.33127865773145	0	31672	266382521
Contig25	707	0.07319598302101667	0	4	9659
Chr10	9991492042	47.50336804924296	0	18021	210332287
Contig08	1091990	80.74460218870156	0	153	13524
Contig77	26025235	47.551351341475	0	198	547308
Contig58	265370	93.04698457223002	0	119	2852
Contig19	197062	17.07642980935875	0	131	11540
Contig51	2382296	558.9619896762083	0	1948	4262
Contig12	284319	21.98229472707592	0	197	12934
Contig75	6341103	54.5171088604983	0	237	116314
