chrom	length	bases	mean	min	max
Chr01	332615375	16127407574	48.49	0	26657
Chr02	177319215	7964953684	44.92	0	21457
Chr03	289790774	13464357500	46.46	0	21074
Chr04	248932513	11179588532	44.91	0	16381
Chr05	254874144	11949617619	46.88	0	36012
Chr06	253233553	11287383238	44.57	0	19678
Chr07	266382521	12255208690	46.01	0	30475
Chr08	174326481	8033776991	46.08	0	18275
Chr09	278410012	12444196009	44.70	0	25145
Chr10	210332287	9511170033	45.22	0	16829
Chr11	275185330	12519999578	45.50	0	27161
Chr12	259736375	11858708882	45.66	0	19481
Contig01	17280	290511	16.81	0	98
Contig02	14241	568571	39.92	0	65
Contig03	14184	3015	0.21	0	15
Contig04	14135	639555	45.25	0	138
Contig05	13935	97252	6.98	0	52
Contig06	13927	610314	43.82	0	115
Contig07	13733	25352228	1846.08	0	8267
Contig08	13524	1041321	77.00	0	148
Contig09	13450	116711	8.68	0	65
Contig10	13288	250606	18.86	0	49
Contig11	13186	685071	51.95	0	302
Contig12	12934	269381	20.83	0	187
Contig13	12859	17089	1.33	0	23
Contig14	12004	19977626	1664.25	0	13958
Contig15	11909	67664	5.68	0	132
Contig16	11861	412363	34.77	0	64
Contig17	11798	836164	70.87	0	212
Contig18	11724	348086	29.69	0	127
Contig19	11540	186380	16.15	0	124
Contig20	10681	286914	26.86	0	86
Contig21	10492	10715	1.02	0	45
Contig22	10491	1912142	182.26	12	252
Contig23	10010	938657	93.77	31	130
Contig24	9833	962376	97.87	0	410
Contig25	9659	574	0.06	0	3
Contig26	9285	69885	7.53	0	53
Contig27	9105	680843	74.78	0	122
Contig28	9048	230238	25.45	0	66
Contig29	9046	168820	18.66	0	82
Contig30	9019	15733200	1744.45	0	17398
Contig31	8639	14010571	1621.78	0	10375
Contig32	8180	19023258	2325.58	0	15189
Contig33	8163	227702	27.89	0	164
Contig34	8109	31932	3.94	0	68
Contig35	8032	365914	45.56	0	74
Contig36	7545	67176	8.90	0	75
Contig38	7293	151503	20.77	0	60
Contig39	7178	14679225	2045.03	0	24162
Contig41	6489	124136	19.13	0	189
Contig42	6084	5294159	870.18	0	12124
Contig43	5994	11560	1.93	0	46
Contig44	5934	319985	53.92	0	147
Contig45	5922	91578	15.46	0	63
Contig46	5576	169	0.03	0	2
Contig47	5065	45716	9.03	0	100
Contig48	4952	342051	69.07	0	117
Contig49	4778	226891	47.49	0	140
Contig50	4529	72242	15.95	0	101
Contig51	4262	2265497	531.56	0	1815
Contig52	3903	6930	1.78	0	41
Contig53	3887	812	0.21	0	2
Contig54	3597	4413	1.23	0	15
Contig55	3447	450	0.13	0	3
Contig56	3080	46498	15.10	0	68
Contig57	2873	636	0.22	0	4
Contig58	2852	252593	88.57	68	112
Contig59	2512	73719	29.35	0	85
Contig60	2453	7435	3.03	0	25
Contig61	2025	104142	51.43	0	83
Contig62	1781	4143399	2326.45	0	9311
Contig63	1707	184435	108.05	0	171
Contig64	1626	290	0.18	0	2
Contig65	1578	340	0.22	0	2
Contig66	1279	109	0.09	0	1
Contig68	936	592	0.63	0	2
Contig69	50000	4483117	89.66	0	143
Contig70	36440	3567930	97.91	0	2126
Contig71	188396	8432502	44.76	0	170
Contig72	233858	13265392	56.72	0	530
Contig73	262094	18434523	70.34	0	424
Contig74	55865	5170609	92.56	0	524
Contig75	116314	6042759	51.95	0	221
Contig76	125000	73712461	589.70	0	16851
Contig77	547308	24761546	45.24	0	181
Contig78	126556	7671916	60.62	0	162
Contig79	444622	20826113	46.84	0	329
total	3023845474	138917679528	45.94	0	36012
