chrom	length	bases	mean	min	max
Chr01	332615375	13725932545	41.27	0	8987
Chr02	177319215	6729627786	37.95	0	15146
Chr03	289790774	11081728739	38.24	0	5811
Chr04	248932513	9226117594	37.06	0	5604
Chr05	254874144	10131783470	39.75	0	25967
Chr06	253233553	9314882903	36.78	0	1261
Chr07	266382521	10056999066	37.75	0	4277
Chr08	174326481	6461485010	37.07	0	2555
Chr09	278410012	10219533959	36.71	0	11877
Chr10	210332287	9108665579	43.31	0	321979
Chr11	275185330	10526418988	38.25	0	9577
Chr12	259736375	9881072281	38.04	0	7417
Contig01	17280	39373	2.28	0	4
Contig02	14241	637619	44.77	12	53
Contig03	14184	93522	6.59	0	31
Contig04	14135	54078	3.83	0	9
Contig05	13935	109419	7.85	0	32
Contig06	13927	529922	38.05	3	55
Contig07	13733	9278543	675.64	53	888
Contig08	13524	748854	55.37	20	76
Contig09	13450	70215	5.22	0	30
Contig10	13288	22084	1.66	0	4
Contig11	13186	138793	10.53	0	21
Contig12	12934	37617	2.91	0	6
Contig13	12859	9400	0.73	0	3
Contig14	12004	2411115	200.86	0	304
Contig15	11909	15228	1.28	0	5
Contig16	11861	93807	7.91	0	11
Contig17	11798	76350	6.47	0	10
Contig18	11724	1566	0.13	0	2
Contig19	11540	20096	1.74	0	6
Contig20	10681	251212	23.52	0	49
Contig21	10492	5855	0.56	0	19
Contig22	10491	1655886	157.84	62	177
Contig23	10010	801002	80.02	40	88
Contig24	9833	33048	3.36	0	9
Contig25	9659	627	0.06	0	1
Contig26	9285	18363	1.98	0	7
Contig27	9105	497959	54.69	13	63
Contig28	9048	14372	1.59	0	4
Contig29	9046	7486	0.83	0	3
Contig30	9019	433950	48.12	0	163
Contig31	8639	2356019	272.72	10	511
Contig32	8180	1439538	175.98	18	256
Contig33	8163	39772	4.87	0	9
Contig34	8109	1034	0.13	0	1
Contig35	8032	18338	2.28	0	6
Contig36	7545	45123	5.98	0	24
Contig37	7491	1472	0.20	0	2
Contig38	7293	10728	1.47	0	4
Contig39	7178	523526	72.93	0	163
Contig40	6978	9801	1.40	0	5
Contig41	6489	12662	1.95	0	4
Contig42	6084	374870	61.62	7	89
Contig43	5994	30473	5.08	0	19
Contig44	5934	131496	22.16	0	26
Contig45	5922	46631	7.87	0	27
Contig46	5576	53214	9.54	0	40
Contig47	5065	13577	2.68	0	4
Contig48	4952	36215	7.31	2	10
Contig49	4778	36919	7.73	0	11
Contig50	4529	21941	4.84	0	12
Contig51	4262	127802	29.99	0	50
Contig52	3903	2681	0.69	0	12
Contig53	3887	18829	4.84	0	8
Contig54	3597	17818	4.95	0	8
Contig56	3080	9148	2.97	0	4
Contig57	2873	2577	0.90	0	2
Contig58	2852	155603	54.56	33	59
Contig59	2512	14926	5.94	0	7
Contig60	2453	0	0.00	0	0
Contig61	2025	60646	29.95	0	34
Contig62	1781	13197	7.41	0	23
Contig63	1707	94502	55.36	13	62
Contig64	1626	1064	0.65	0	1
Contig65	1578	449	0.28	0	1
Contig66	1279	1213	0.95	0	2
Contig67	1221	81	0.07	0	1
Contig69	50000	3905696	78.11	15	94
Contig70	36440	1889126	51.84	3	168
Contig71	188396	5262841	27.93	0	45
Contig72	233858	5658697	24.20	0	50
Contig73	262094	17640850	67.31	0	299
Contig74	55865	551918	9.88	0	20
Contig75	116314	3217851	27.67	1	50
Contig76	125000	71489068	571.91	15	1996
Contig77	547308	18614689	34.01	1	123
Contig78	126556	5014392	39.62	0	64
Contig79	444622	15948314	35.87	0	109
total	3023856781	116637272608	38.57	0	321979
