#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Chr01	1	332615375	1026187	332425142	99.9428	41.2667	255	50
Chr02	1	177319215	523427	177215292	99.9414	37.9521	255	50.5
Chr03	1	289790774	841065	289654997	99.9531	38.2404	255	51.4
Chr04	1	248932513	693932	248778471	99.9381	37.0627	255	52.1
Chr05	1	254874144	775752	254718430	99.9389	39.7521	255	48.6
Chr06	1	253233553	704803	253053789	99.929	36.7838	255	52.1
Chr07	1	266382521	768103	266146799	99.9115	37.754	255	51.1
Chr08	1	174326481	490029	174189246	99.9213	37.0654	255	51.7
Chr09	1	278410012	776066	278174854	99.9155	36.7068	255	51.6
Chr10	1	210332287	974471	210210542	99.9421	43.3061	255	34.2
Chr11	1	275185330	784357	275016072	99.9385	38.2521	255	51.5
Chr12	1	259736375	755071	259613930	99.9529	38.0427	255	51.2
Contig01	1	17280	10	15882	91.9097	2.27853	255	13.4
Contig02	1	14241	101	14241	100	44.7735	255	53.3
Contig03	1	14184	38	10840	76.4241	6.59349	255	11.2
Contig04	1	14135	20	13903	98.3587	3.82582	255	17.7
Contig05	1	13935	49	12223	87.7144	7.8521	255	47.8
Contig06	1	13927	72	13927	100	38.05	255	51.2
Contig07	1	13733	1367	13733	100	675.638	255	23.9
Contig08	1	13524	106	13524	100	55.3722	255	51.3
Contig09	1	13450	35	5647	41.9851	5.22045	255	57
Contig10	1	13288	12	9477	71.32	1.66195	255	30.8
Contig11	1	13186	32	13162	99.818	10.5258	255	8.66
Contig12	1	12934	12	12115	93.6679	2.90838	255	8.75
Contig13	1	12859	5	6294	48.9463	0.731006	255	10.6
Contig14	1	12004	855	11989	99.875	200.859	255	17.2
Contig15	1	11909	9	6121	51.3981	1.2787	255	29.2
Contig16	1	11861	18	11824	99.6881	7.90886	255	49.7
Contig17	1	11798	19	11473	97.2453	6.47144	255	41.3
Contig18	1	11724	5	1130	9.63835	0.133572	255	0.8
Contig19	1	11540	9	8434	73.0849	1.74142	255	4.33
Contig20	1	10681	64	9485	88.8025	23.5195	255	58.9
Contig21	1	10492	20	2863	27.2875	0.558044	255	33.8
Contig22	1	10491	272	10491	100	157.839	255	57.4
Contig23	1	10010	138	10010	100	80.0202	255	57
Contig24	1	9833	14	8988	91.4065	3.36093	255	10
Contig25	1	9659	3	627	6.49136	0.0649136	255	5
Contig26	1	9285	10	7271	78.3091	1.97771	255	43.3
Contig27	1	9105	90	9105	100	54.6907	255	57.1
Contig28	1	9048	9	7612	84.1291	1.58842	255	27.8
Contig29	1	9046	5	4979	55.0409	0.827548	255	9.8
Contig30	1	9019	319	9017	99.9778	48.1151	255	9.95
Contig31	1	8639	867	8639	100	272.719	255	14.3
Contig32	1	8180	394	8180	100	175.983	255	18.9
Contig33	1	8163	13	8106	99.3017	4.87223	255	25.8
Contig34	1	8109	1	1034	12.7513	0.127513	255	4
Contig35	1	8032	8	7422	92.4054	2.28312	255	45
Contig36	1	7545	24	3421	45.3413	5.98052	255	56
Contig37	1	7491	2	900	12.0144	0.196502	255	47
Contig38	1	7293	5	6258	85.8083	1.471	255	39.6
Contig39	1	7178	456	7147	99.5681	72.9348	255	15.6
Contig40	1	6978	12	5617	80.4958	1.40456	255	8.5
Contig41	1	6489	5	5595	86.2228	1.9513	255	2.2
Contig42	1	6084	141	6084	100	61.6157	255	8.46
Contig43	1	5994	21	2807	46.8302	5.08392	255	52.9
Contig44	1	5934	32	5724	96.4611	22.1598	255	55.9
Contig45	1	5922	30	1872	31.6109	7.8742	255	56.8
Contig46	1	5576	51	2546	45.66	9.5434	255	11.9
Contig47	1	5065	4	5026	99.23	2.68055	255	45.8
Contig48	1	4952	14	4952	100	7.31321	255	44.1
Contig49	1	4778	16	4667	97.6769	7.72687	255	49.3
Contig50	1	4529	13	4347	95.9815	4.84456	255	51.3
Contig51	1	4262	68	4260	99.9531	29.9864	255	33
Contig52	1	3903	12	237	6.07225	0.686908	255	20.3
Contig53	1	3887	9	3768	96.9385	4.8441	255	52.3
Contig54	1	3597	9	3593	99.8888	4.95357	255	54.4
Contig56	1	3080	5	3043	98.7987	2.97013	255	2.4
Contig57	1	2873	2	2328	81.0303	0.896972	255	36.5
Contig58	1	2852	63	2852	100	54.5593	255	59.6
Contig59	1	2512	7	2509	99.8806	5.94188	255	51.7
Contig61	1	2025	35	2021	99.8025	29.9486	255	55.7
Contig62	1	1781	27	1537	86.2998	7.40988	255	9
Contig63	1	1707	62	1707	100	55.3615	255	57
Contig64	1	1626	1	1064	65.4367	0.654367	255	60
Contig65	1	1578	1	449	28.4537	0.284537	255	28
Contig66	1	1279	2	1095	85.6138	0.948397	255	6.5
Contig67	1	1221	1	81	6.63391	0.0663391	255	4
Contig69	1	50000	345	50000	100	78.1139	255	56
Contig70	1	36440	366	36440	100	51.8421	255	27.1
Contig71	1	188396	396	188394	99.9989	27.935	255	48.5
Contig72	1	233858	473	233848	99.9957	24.1971	255	46.1
Contig73	1	262094	1521	262092	99.9992	67.3073	255	45
Contig74	1	55865	80	54800	98.0936	9.8795	255	35
Contig75	1	116314	292	116314	100	27.6652	255	26.4
Contig76	1	125000	4177	125000	100	571.913	255	25.6
Contig77	1	547308	1540	547308	100	34.0114	255	43.4
Contig78	1	126556	389	126553	99.9976	39.6219	255	43.8
Contig79	1	444622	1632	440837	99.1487	35.8694	255	39.9
Contig55	1	3447	0	0	0	0	0	0
Contig60	1	2453	0	0	0	0	0	0
Contig68	1	936	0	0	0	0	0	0
