#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
Chr01	1	332615375	114327529	331690145	99.7218	50.9456	255	52.7
Chr02	1	177319215	56403136	176853774	99.7375	47.192	255	56.6
Chr03	1	289790774	95474542	288837978	99.6712	48.8052	255	55.4
Chr04	1	248932513	79177044	248384761	99.78	47.166	255	57.3
Chr05	1	254874144	84771641	253897405	99.6168	49.235	255	54.4
Chr06	1	253233553	79998020	252488900	99.7059	46.8131	255	56.6
Chr07	1	266382521	87043917	265595425	99.7045	48.3257	255	55.7
Chr08	1	174326481	56998101	173874883	99.7409	48.3986	255	55.9
Chr09	1	278410012	88253237	277664711	99.7323	46.9391	255	57
Chr10	1	210332287	67409008	209798171	99.7461	47.4993	255	55.8
Chr11	1	275185330	88773947	274509779	99.7545	47.7816	255	56.3
Chr12	1	259736375	84020635	259149371	99.774	47.9535	255	56.1
Contig01	1	17280	2051	15169	87.7836	17.656	255	2.42
Contig02	1	14241	4064	14104	99.038	42.0832	255	56.8
Contig03	1	14184	80	1222	8.61534	0.212563	255	2.09
Contig04	1	14135	4522	13405	94.8355	47.5261	255	26
Contig05	1	13935	752	8279	59.4116	7.41679	255	21.5
Contig06	1	13927	4289	12798	91.8934	45.9347	255	51.1
Contig07	1	13733	180088	12379	90.1405	1947.15	255	1.72
Contig08	1	13524	7374	13517	99.9482	80.7335	255	28.1
Contig09	1	13450	854	2594	19.2862	9.0861	255	59.1
Contig10	1	13288	1782	12251	92.196	19.8274	255	34
Contig11	1	13186	4812	12246	92.8712	54.3378	255	13.9
Contig12	1	12934	1906	6802	52.5901	21.9715	255	28.3
Contig13	1	12859	126	3145	24.4576	1.43549	255	9.16
Contig14	1	12004	143355	10404	86.6711	1754.02	255	11.2
Contig15	1	11909	488	3802	31.9254	6.03015	255	34.9
Contig16	1	11861	2910	11249	94.8402	36.601	255	44.8
Contig17	1	11798	5932	11646	98.7116	74.621	255	37.5
Contig18	1	11724	2449	7585	64.6963	31.1157	255	10.9
Contig19	1	11540	1323	6179	53.5442	17.071	255	19.2
Contig20	1	10681	2037	5653	52.9258	28.1579	255	59.2
Contig21	1	10492	88	1006	9.58826	1.12838	255	24.5
Contig22	1	10491	13611	10491	100	191.833	255	59.3
Contig23	1	10010	6604	10010	100	98.1751	255	59.6
Contig24	1	9833	6746	8201	83.4028	102.303	255	2.24
Contig25	1	9659	6	319	3.30262	0.073196	255	0
Contig26	1	9285	511	4603	49.5746	8.04362	255	34.5
Contig27	1	9105	4834	8842	97.1115	78.9818	255	54.9
Contig28	1	9048	1626	7535	83.2781	26.6432	255	29
Contig29	1	9046	1199	4881	53.9576	19.6914	255	0
Contig30	1	9019	111601	7231	80.1752	1824.59	255	2.81
Contig31	1	8639	100484	6919	80.0903	1706.12	255	3.89
Contig32	1	8180	134155	7238	88.4841	2445.5	255	7.16
Contig33	1	8163	1624	4743	58.1036	29.5219	255	20.1
Contig34	1	8109	233	2606	32.1371	4.22605	255	0.112
Contig35	1	8032	2581	8031	99.9875	47.7535	255	51.7
Contig36	1	7545	491	1365	18.0915	9.32604	255	58.4
Contig38	1	7293	1067	5084	69.7107	21.8253	255	47.6
Contig39	1	7178	104354	5261	73.2934	2138.27	255	3.97
Contig41	1	6489	923	3613	55.6788	20.1905	255	0.628
Contig42	1	6084	45436	4889	80.3583	956.191	255	15.3
Contig43	1	5994	89	615	10.2603	1.97331	255	40.9
Contig44	1	5934	2639	5777	97.3542	56.1749	255	43.5
Contig45	1	5922	654	2228	37.6224	16.2555	255	56.3
Contig46	1	5576	5	144	2.5825	0.0303085	255	0
Contig47	1	5065	327	1705	33.6624	9.59487	255	16.3
Contig48	1	4952	2412	4950	99.9596	72.5842	255	29.4
Contig49	1	4778	1617	4603	96.3374	50.0036	255	38.9
Contig50	1	4529	522	1807	39.8984	16.8152	255	40
Contig51	1	4262	16134	4249	99.695	558.764	255	9.07
Contig52	1	3903	63	971	24.8783	1.81117	255	37.9
Contig53	1	3887	7	547	14.0725	0.244919	255	0
Contig54	1	3597	32	685	19.0436	1.28357	255	19.7
Contig55	1	3447	3	173	5.01886	0.130548	255	2
Contig56	1	3080	326	2130	69.1558	15.7718	255	1.21
Contig57	1	2873	5	224	7.79673	0.261051	255	19.6
Contig58	1	2852	1872	2852	100	93.0459	255	58.4
Contig59	1	2512	535	2397	95.422	31.4248	255	3.01
Contig60	1	2453	55	587	23.9299	3.13086	255	22.7
Contig61	1	2025	766	2024	99.9506	53.562	255	56.3
Contig62	1	1781	29119	1495	83.9416	2443.61	255	0.171
Contig63	1	1707	1297	1457	85.3544	112.691	255	58.1
Contig64	1	1626	4	242	14.8831	0.178352	255	0.75
Contig65	1	1578	4	254	16.0963	0.215463	255	0
Contig66	1	1279	2	109	8.52228	0.0852228	255	0
Contig68	1	936	4	378	40.3846	0.632479	255	1.5
Contig69	1	50000	31617	49801	99.602	93.9497	255	59.7
Contig70	1	36440	26920	33065	90.7382	105.454	255	18.8
Contig71	1	188396	61109	184257	97.803	46.906	255	41.1
Contig72	1	233858	97272	232672	99.4929	59.3736	255	45.1
Contig73	1	262094	130828	260791	99.5029	73.8286	255	40.3
Contig74	1	55865	41264	49767	89.0844	96.4179	255	32.8
Contig75	1	116314	42714	114147	98.1369	54.4967	255	20.5
Contig76	1	125000	523872	116343	93.0744	623.837	255	7.44
Contig77	1	547308	174908	544634	99.5114	47.5399	255	38.3
Contig78	1	126556	54675	125541	99.198	63.6119	255	40.3
Contig79	1	444622	147699	427263	96.0958	49.2348	255	34.6
Contig37	1	7491	0	0	0	0	0	0
Contig40	1	6978	0	0	0	0	0	0
Contig67	1	1221	0	0	0	0	0	0
