#Chr	Length	CoveredSite	TotalDepth	GC(%)	Coverage(%)	MeanDepth
Chr01	332615375	331690145	16945298412	34.64	99.72	50.95
Chr02	177319215	176853774	8368043949	34.66	99.74	47.19
Chr03	289790774	288837978	14143309698	34.78	99.67	48.81
Chr04	248932513	248384761	11741149343	34.87	99.78	47.17
Chr05	254874144	253897405	12548725234	34.98	99.62	49.23
Chr06	253233553	252488900	11854653791	34.82	99.71	46.81
Chr07	266382521	265595425	12873116925	34.99	99.70	48.33
Chr08	174326481	173874883	8437159467	35.08	99.74	48.40
Chr09	278410012	277664711	13068321410	34.94	99.73	46.94
Chr10	210332287	209798171	9990646062	34.66	99.75	47.50
Chr11	275185330	274509779	13148787971	34.91	99.75	47.78
Chr12	259736375	259149371	12455273782	34.81	99.77	47.95
Contig01	17280	15169	305096	33.09	87.78	17.66
Contig02	14241	14104	599307	39.65	99.04	42.08
Contig03	14184	1222	3015	21.71	8.62	0.21
Contig04	14135	13405	671781	33.09	94.84	47.53
Contig05	13935	8279	103353	37.87	59.41	7.42
Contig06	13927	12798	639733	36.65	91.89	45.93
Contig07	13733	12379	26740190	35.00	90.14	1947.15
Contig08	13524	13517	1091840	39.02	99.95	80.73
Contig09	13450	2594	122208	34.62	19.29	9.09
Contig10	13288	12251	263466	35.58	92.20	19.83
Contig11	13186	12246	716498	35.29	92.87	54.34
Contig12	12934	6802	284179	33.73	52.59	21.97
Contig13	12859	3145	18459	37.93	24.46	1.44
Contig14	12004	10404	21055300	56.29	86.67	1754.02
Contig15	11909	3802	71813	35.91	31.93	6.03
Contig16	11861	11249	434124	35.99	94.84	36.60
Contig17	11798	11646	880378	35.30	98.71	74.62
Contig18	11724	7585	364800	39.82	64.70	31.12
Contig19	11540	6179	196999	37.82	53.54	17.07
Contig20	10681	5653	300754	31.96	52.93	28.16
Contig21	10492	1006	11839	35.88	9.59	1.13
Contig22	10491	10491	2012525	35.33	100.00	191.83
Contig23	10010	10010	982733	41.28	100.00	98.18
Contig24	9833	8201	1005943	32.83	83.40	102.30
Contig25	9659	319	707	37.56	3.30	0.07
Contig26	9285	4603	74685	31.09	49.57	8.04
Contig27	9105	8842	719129	30.08	97.11	78.98
Contig28	9048	7535	241068	33.96	83.28	26.64
Contig29	9046	4881	178128	33.23	53.96	19.69
Contig30	9019	7231	16456009	54.07	80.18	1824.59
Contig31	8639	6919	14739145	56.67	80.09	1706.12
Contig32	8180	7238	20004195	33.33	88.48	2445.50
Contig33	8163	4743	240987	32.29	58.10	29.52
Contig34	8109	2606	34269	38.87	32.14	4.23
Contig35	8032	8031	383556	38.76	99.99	47.75
Contig36	7545	1365	70365	37.65	18.09	9.33
Contig37	7491	0	0	35.34	0.00	0.00
Contig38	7293	5084	159172	41.72	69.71	21.83
Contig39	7178	5261	15348522	55.63	73.29	2138.27
Contig40	6978	0	0	33.71	0.00	0.00
Contig41	6489	3613	131016	28.76	55.68	20.19
Contig42	6084	4889	5817468	51.07	80.36	956.19
Contig43	5994	615	11828	33.32	10.26	1.97
Contig44	5934	5777	333342	45.21	97.35	56.17
Contig45	5922	2228	96265	37.01	37.62	16.26
Contig46	5576	144	169	18.85	2.58	0.03
Contig47	5065	1705	48598	35.91	33.66	9.59
Contig48	4952	4950	359437	35.38	99.96	72.58
Contig49	4778	4603	238917	35.18	96.34	50.00
Contig50	4529	1807	76156	30.32	39.90	16.82
Contig51	4262	4249	2381452	47.72	99.69	558.76
Contig52	3903	971	7069	79.96	24.88	1.81
Contig53	3887	547	952	30.51	14.07	0.24
Contig54	3597	685	4617	34.47	19.04	1.28
Contig55	3447	173	450	37.66	5.02	0.13
Contig56	3080	2130	48577	35.39	69.16	15.77
Contig57	2873	224	750	36.55	7.80	0.26
Contig58	2852	2852	265367	36.61	100.00	93.05
Contig59	2512	2397	78939	39.17	95.42	31.42
Contig60	2453	587	7680	36.49	23.93	3.13
Contig61	2025	2024	108463	37.09	99.95	53.56
Contig62	1781	1495	4352063	43.18	83.94	2443.61
Contig63	1707	1457	192364	39.07	85.35	112.69
Contig64	1626	242	290	46.43	14.88	0.18
Contig65	1578	254	340	29.97	16.10	0.22
Contig66	1279	109	109	44.41	8.52	0.09
Contig67	1221	0	0	32.84	0.00	0.00
Contig68	936	378	592	33.44	40.38	0.63
Contig69	50000	49801	4697487	36.17	99.60	93.95
Contig70	36440	33065	3842756	45.83	90.74	105.45
Contig71	188396	184257	8836896	38.28	97.80	46.91
Contig72	233858	232672	13885001	40.44	99.49	59.37
Contig73	262094	260791	19350036	36.76	99.50	73.83
Contig74	55865	49767	5386386	50.45	89.08	96.42
Contig75	116314	114147	6338728	36.83	98.14	54.50
Contig76	125000	116343	77979686	34.18	93.07	623.84
Contig77	547308	544634	26018970	34.66	99.51	47.54
Contig78	126556	125541	8050470	35.56	99.20	63.61
Contig79	444622	427263	21890881	38.05	96.10	49.23
##RegionLength: 3023861164	CoveredSite: 3015223484	GC(%): 34.84	Coverage(%): 99.71	MeanDepth: 48.25
