interval	50X.sort.bam_bases	50X.sort.bam_mean	50X.sort.bam_min	50X.sort.bam_max	50X.sort.bam_length
Contig59	15355	6.11265923566879	0	7	2512
Contig33	40933	5.014455469802769	0	9	8163
Contig71	5418390	28.7606424764857	0	45	188396
Contig10	22479	1.691676700782661	0	4	13288
Contig54	18637	5.181262162913539	0	8	3597
Contig01	40440	2.340277777777778	0	4	17280
Contig03	97514	6.874929498025945	0	32	14184
Contig16	95863	8.08220217519602	0	11	11861
Contig41	13385	2.062721528740946	0	4	6489
Contig56	9815	3.186688311688312	0	4	3080
Contig78	5199556	41.08502165049465	0	64	126556
Contig44	135002	22.75058982136839	0	26	5934
Contig24	33964	3.454083189260653	0	9	9833
Chr09	10505831312	37.73510599180607	0	12222	278410012
Chr02	6919863882	39.02489576214287	0	15746	177319215
Contig62	13610	7.641774284110051	0	23	1781
Chr05	10431873845	40.92951007615743	0	26077	254874144
Contig22	1703184	162.347154704032	0	177	10491
Contig69	4060339	81.20677999999999	0	94	50000
Contig14	2527681	210.569893368877	0	304	12004
Contig42	403529	66.32626561472715	0	89	6084
Contig20	258021	24.15700777080798	0	49	10681
Contig61	62101	30.66716049382716	0	34	2025
Contig68	0	0.0	0	0	936
Contig05	114621	8.225403659849301	0	32	13935
Contig31	2490797	288.3200601921519	0	515	8639
Contig36	49097	6.507223326706428	0	24	7545
Contig06	543291	39.00990881022474	0	55	13927
Contig76	75566330	604.5306399999999	0	1996	125000
Contig09	72088	5.359702602230484	0	30	13450
Contig35	18936	2.357569721115538	0	6	8032
Contig57	2686	0.9349112426035503	0	2	2873
Contig43	32782	5.469135802469136	0	19	5994
Contig04	56205	3.976299964626813	0	9	14135
Contig29	7748	0.85651116515587	0	3	9046
Contig72	5840566	24.97483943247612	0	50	233858
Contig70	2079467	57.06550493962678	0	171	36440
Contig66	1255	0.9812353401094606	0	2	1279
Contig67	82	0.06715806715806716	0	1	1221
Contig52	2805	0.7186779400461184	0	12	3903
Contig07	9637573	701.7820578169373	0	890	13733
Contig64	1234	0.7589175891758918	0	1	1626
Contig45	47991	8.103850050658561	0	27	5922
Contig73	18528901	70.69563210145978	0	299	262094
Contig37	1569	0.2094513416099319	0	2	7491
Chr11	10856814383	39.45273675380879	0	9589	275185330
Chr03	11397189963	39.32902971921391	0	5817	289790774
Contig02	655967	46.06186363317182	0	53	14241
Contig53	20408	5.250321584769745	0	8	3887
Contig74	579237	10.36851338047078	0	20	55865
Contig50	23612	5.213512916758666	0	12	4529
Chr01	14194089869	42.67418446606685	0	9119	332615375
Contig32	1490806	182.2501222493888	0	256	8180
Chr04	9483641818	38.09724050791228	0	5814	248932513
Contig47	14195	2.802566633761105	0	4	5065
Contig65	560	0.3548795944233207	0	1	1578
Contig27	511243	56.14969796814937	0	63	9105
Contig13	9679	0.7527023874329264	0	3	12859
Contig63	97952	57.38254247217341	0	62	1707
Contig46	56920	10.20803443328551	0	40	5576
Contig18	1593	0.1358751279426817	0	2	11724
Contig49	37874	7.926747593135203	0	11	4778
Chr08	6647155389	38.13049716181674	0	2558	174326481
Contig79	16468099	37.03842589885341	0	109	444622
Chr06	9587105753	37.85874991455022	0	1300	253233553
Contig40	10421	1.493407853253081	0	5	6978
Contig34	1055	0.1301023554075718	0	1	8109
Contig11	143407	10.8757015015926	0	21	13186
Contig23	824599	82.37752247752248	0	88	10010
Contig38	10983	1.505964623611682	0	4	7293
Chr12	10161267989	39.12146686808885	0	7632	259736375
Contig28	14801	1.635831122900088	0	4	9048
Contig48	37238	7.519789983844911	0	10	4952
Contig17	78087	6.618664180369554	0	10	11798
Contig60	0	0.0	0	0	2453
Contig15	15853	1.331178100596188	0	5	11909
Contig39	550439	76.68417386458624	0	163	7178
Contig55	0	0.0	0	0	3447
Contig26	18915	2.037156704361874	0	7	9285
Contig21	6030	0.57472359893252	0	19	10492
Contig30	453011	50.22851757401043	0	163	9019
Chr07	10348529161	38.8483790984169	0	4539	266382521
Contig25	665	0.06884770680194637	0	1	9659
Chr10	9416365277	44.76899581755605	0	337417	210332287
Contig08	773444	57.19047619047619	0	76	13524
Contig77	19150073	34.98957259897535	0	123	547308
Contig58	159568	55.94950911640954	0	59	2852
Contig19	20777	1.800433275563258	0	6	11540
Contig51	132541	31.09831065227593	0	50	4262
Contig12	38751	2.996056904283285	0	6	12934
Contig75	3314401	28.49528861529996	0	50	116314
