#Chr	Length	CoveredSite	TotalDepth	GC(%)	Coverage(%)	MeanDepth
Chr01	332615375	332425142	13725932545	34.64	99.94	41.27
Chr02	177319215	177215292	6729627786	34.66	99.94	37.95
Chr03	289790774	289654997	11081728739	34.78	99.95	38.24
Chr04	248932513	248778471	9226117594	34.87	99.94	37.06
Chr05	254874144	254718430	10131783470	34.98	99.94	39.75
Chr06	253233553	253053789	9314882903	34.82	99.93	36.78
Chr07	266382521	266146799	10056999066	34.99	99.91	37.75
Chr08	174326481	174189246	6461485010	35.08	99.92	37.07
Chr09	278410012	278174854	10219533959	34.94	99.92	36.71
Chr10	210332287	210210542	9108665579	34.66	99.94	43.31
Chr11	275185330	275016072	10526418988	34.91	99.94	38.25
Chr12	259736375	259613930	9881072281	34.81	99.95	38.04
Contig01	17280	15882	39373	33.09	91.91	2.28
Contig02	14241	14241	637619	39.65	100.00	44.77
Contig03	14184	10840	93522	21.71	76.42	6.59
Contig04	14135	13903	54078	33.09	98.36	3.83
Contig05	13935	12223	109419	37.87	87.71	7.85
Contig06	13927	13927	529922	36.65	100.00	38.05
Contig07	13733	13733	9278543	35.00	100.00	675.64
Contig08	13524	13524	748854	39.02	100.00	55.37
Contig09	13450	5647	70215	34.62	41.99	5.22
Contig10	13288	9477	22084	35.58	71.32	1.66
Contig11	13186	13162	138793	35.29	99.82	10.53
Contig12	12934	12115	37617	33.73	93.67	2.91
Contig13	12859	6294	9400	37.93	48.95	0.73
Contig14	12004	11989	2411115	56.29	99.88	200.86
Contig15	11909	6121	15228	35.91	51.40	1.28
Contig16	11861	11824	93807	35.99	99.69	7.91
Contig17	11798	11473	76350	35.30	97.25	6.47
Contig18	11724	1130	1566	39.82	9.64	0.13
Contig19	11540	8434	20096	37.82	73.08	1.74
Contig20	10681	9485	251212	31.96	88.80	23.52
Contig21	10492	2863	5855	35.88	27.29	0.56
Contig22	10491	10491	1655886	35.33	100.00	157.84
Contig23	10010	10010	801002	41.28	100.00	80.02
Contig24	9833	8988	33048	32.83	91.41	3.36
Contig25	9659	627	627	37.56	6.49	0.06
Contig26	9285	7271	18363	31.09	78.31	1.98
Contig27	9105	9105	497959	30.08	100.00	54.69
Contig28	9048	7612	14372	33.96	84.13	1.59
Contig29	9046	4979	7486	33.23	55.04	0.83
Contig30	9019	9017	433950	54.07	99.98	48.12
Contig31	8639	8639	2356019	56.67	100.00	272.72
Contig32	8180	8180	1439538	33.33	100.00	175.98
Contig33	8163	8106	39772	32.29	99.30	4.87
Contig34	8109	1034	1034	38.87	12.75	0.13
Contig35	8032	7422	18338	38.76	92.41	2.28
Contig36	7545	3421	45123	37.65	45.34	5.98
Contig37	7491	900	1472	35.34	12.01	0.20
Contig38	7293	6258	10728	41.72	85.81	1.47
Contig39	7178	7147	523526	55.63	99.57	72.93
Contig40	6978	5617	9801	33.71	80.50	1.40
Contig41	6489	5595	12662	28.76	86.22	1.95
Contig42	6084	6084	374870	51.07	100.00	61.62
Contig43	5994	2807	30473	33.32	46.83	5.08
Contig44	5934	5724	131496	45.21	96.46	22.16
Contig45	5922	1872	46631	37.01	31.61	7.87
Contig46	5576	2546	53214	18.85	45.66	9.54
Contig47	5065	5026	13577	35.91	99.23	2.68
Contig48	4952	4952	36215	35.38	100.00	7.31
Contig49	4778	4667	36919	35.18	97.68	7.73
Contig50	4529	4347	21941	30.32	95.98	4.84
Contig51	4262	4260	127802	47.72	99.95	29.99
Contig52	3903	237	2681	79.96	6.07	0.69
Contig53	3887	3768	18829	30.51	96.94	4.84
Contig54	3597	3593	17818	34.47	99.89	4.95
Contig55	3447	0	0	37.66	0.00	0.00
Contig56	3080	3043	9148	35.39	98.80	2.97
Contig57	2873	2328	2577	36.55	81.03	0.90
Contig58	2852	2852	155603	36.61	100.00	54.56
Contig59	2512	2509	14926	39.17	99.88	5.94
Contig60	2453	0	0	36.49	0.00	0.00
Contig61	2025	2021	60646	37.09	99.80	29.95
Contig62	1781	1537	13197	43.18	86.30	7.41
Contig63	1707	1707	94502	39.07	100.00	55.36
Contig64	1626	1064	1064	46.43	65.44	0.65
Contig65	1578	449	449	29.97	28.45	0.28
Contig66	1279	1095	1213	44.41	85.61	0.95
Contig67	1221	81	81	32.84	6.63	0.07
Contig68	936	0	0	33.44	0.00	0.00
Contig69	50000	50000	3905696	36.17	100.00	78.11
Contig70	36440	36440	1889126	45.83	100.00	51.84
Contig71	188396	188394	5262841	38.28	100.00	27.93
Contig72	233858	233848	5658697	40.44	100.00	24.20
Contig73	262094	262092	17640850	36.76	100.00	67.31
Contig74	55865	54800	551918	50.45	98.09	9.88
Contig75	116314	116314	3217851	36.83	100.00	27.67
Contig76	125000	125000	71489068	34.18	100.00	571.91
Contig77	547308	547308	18614689	34.66	100.00	34.01
Contig78	126556	126553	5014392	35.56	100.00	39.62
Contig79	444622	440837	15948314	38.05	99.15	35.87
##RegionLength: 3023861164	CoveredSite: 3021796425	GC(%): 34.84	Coverage(%): 99.93	MeanDepth: 38.57
